Términos de búsqueda
Todo el período
Término de búsqueda,Tipo de concordancia con los términos de búsqueda,Agregadas/excluidas,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,% impr. (absoluto parte sup.),% impr. (parte sup.),Conversiones,Conv. posimpresión,Costo/conv.,Porcentaje de conv.
remedios caseros para los nervios y ansiedad,Concordancia de frase (variante cercana),Ninguna,3,8,37.50%,PEN,0.20,0.59,0,0,0.00,0,0,0.00%
vitaminas para los nervios y la ansiedad,Concordancia de frase (variante cercana),Ninguna,3,6,50.00%,PEN,0.21,0.64,0.00%,50.00%,0.00,0,0,0.00%
como calmar la ansiedad,Concordancia exacta (variante cercana),Ninguna,2,57,3.51%,PEN,0.21,0.41,35.71%,64.29%,0.00,0,0,0.00%
como quitar la ansiedad,Concordancia exacta (variante cercana),Ninguna,2,11,18.18%,PEN,0.51,1.02,33.33%,66.67%,0.00,0,0,0.00%
que es bueno para el nerviosismo,Concordancia exacta (variante cercana),Ninguna,2,3,66.67%,PEN,0.22,0.43,0,0,0.00,0,0,0.00%
alabanza para calmar la ansiedad,Concordancia de frase (variante cercana),Ninguna,2,3,66.67%,PEN,0.17,0.34,0,0,0.00,0,0,0.00%
ansiedad generalizada tratamiento,Concordancia de frase (variante cercana),Ninguna,2,1,200.00%,PEN,0.19,0.38,0,0,0.00,0,0,0.00%
calmar la ansiedad y nerviosismo,Concordancia de frase (variante cercana),Ninguna,2,3,66.67%,PEN,0.29,0.57,0,0,0.00,0,0,0.00%
como quitar los nervios para siempre,Concordancia de frase (variante cercana),Ninguna,2,4,50.00%,PEN,0.20,0.40,0,0,0.00,0,0,0.00%
como superar el estres y ansiedad,Concordancia de frase (variante cercana),Ninguna,2,4,50.00%,PEN,0.17,0.34,0,0,0.00,0,0,0.00%
ejercicios de relajacion para la ansiedad,Concordancia de frase (variante cercana),Ninguna,2,28,7.14%,PEN,0.08,0.16,0,0,0.00,0,0,0.00%
hierbas para la ansiedad,Concordancia de frase (variante cercana),Ninguna,2,3,66.67%,PEN,0.08,0.16,0,0,0.00,0,0,0.00%
mindfulness ansiedad,Concordancia de frase (variante cercana),Ninguna,2,31,6.45%,PEN,0.22,0.44,0,0,0.00,0,0,0.00%
respiraciones para la ansiedad,Concordancia de frase (variante cercana),Ninguna,2,11,18.18%,PEN,0.19,0.38,0,0,0.00,0,0,0.00%
terapia para la ansiedad,Concordancia de frase (variante cercana),Ninguna,2,13,15.38%,PEN,0.21,0.42,0,0,0.00,0,0,0.00%
tratamiento ansiedad,Concordancia de frase (variante cercana),Ninguna,2,3,66.67%,PEN,0.22,0.44,0,0,0.00,0,0,0.00%
cómo controlar la ansiedad,Concordancia exacta,Agregado,1,16,6.25%,PEN,0.20,0.20,37.50%,50.00%,0.00,0,0,0.00%
remedios caseros para la ansiedad y los nervios,Concordancia de frase,Ninguna,1,4,25.00%,PEN,0.19,0.19,0,0,0.00,0,0,0.00%
ansiedad como controlarla,Concordancia exacta (variante cercana),Ninguna,1,7,14.29%,PEN,0.18,0.18,0,0,0.00,0,0,0.00%
calmar la ansiedad y nerviosismo,Concordancia exacta (variante cercana),Ninguna,1,7,14.29%,PEN,0.23,0.23,0,0,0.00,0,0,0.00%
como bajar mi estres y ansiedad,Concordancia exacta (variante cercana),Ninguna,1,1,100.00%,PEN,0.48,0.48,0.00%,100.00%,0.00,0,0,0.00%
como calmar la mente,Concordancia exacta (variante cercana),Ninguna,1,12,8.33%,PEN,0.26,0.26,0.00%,100.00%,0.00,0,0,0.00%
como combatir estres y ansiedad,Concordancia exacta (variante cercana),Ninguna,1,1,100.00%,PEN,0.65,0.65,0.00%,100.00%,0.00,0,0,0.00%
como combatir la ansiedad y el estres,Concordancia exacta (variante cercana),Ninguna,1,3,33.33%,PEN,0.18,0.18,0,0,0.00,0,0,0.00%
como controlar la ansiedad y los nervios,Concordancia exacta (variante cercana),Ninguna,1,3,33.33%,PEN,0.22,0.22,0.00%,0.00%,0.00,0,0,0.00%
como controlar mi ansiedad,Concordancia exacta (variante cercana),Ninguna,1,4,25.00%,PEN,1.41,1.41,33.33%,66.67%,0.00,0,0,0.00%
como dejar el estres y la ansiedad,Concordancia exacta (variante cercana),Ninguna,1,4,25.00%,PEN,0.50,0.50,0.00%,100.00%,0.00,0,0,0.00%
como evitar la ansiedad,Concordancia exacta (variante cercana),Ninguna,1,3,33.33%,PEN,0.47,0.47,50.00%,100.00%,0.00,0,0,0.00%
como mejorar los nervios,Concordancia exacta (variante cercana),Ninguna,1,2,50.00%,PEN,0.27,0.27,0,0,0.00,0,0,0.00%
como perder el nerviosismo,Concordancia exacta (variante cercana),Ninguna,1,1,100.00%,PEN,0.10,0.10,0,0,0.00,0,0,0.00%
como se calma los nervios,Concordancia exacta (variante cercana),Ninguna,1,1,100.00%,PEN,0.11,0.11,0,0,0.00,0,0,0.00%
como se cura la ansiedad,Concordancia exacta (variante cercana),Ninguna,1,9,11.11%,PEN,0.33,0.33,42.86%,71.43%,0.00,0,0,0.00%
como se relaja la mente,Concordancia exacta (variante cercana),Ninguna,1,1,100.00%,PEN,0.42,0.42,0,0,0.00,0,0,0.00%
cuadro de ansiedad que hacer,Concordancia exacta (variante cercana),Ninguna,1,3,33.33%,PEN,1.46,1.46,100.00%,100.00%,0.00,0,0,0.00%
cómo calmar la ansiedad,Concordancia exacta (variante cercana),Ninguna,1,7,14.29%,PEN,0.16,0.16,0.00%,50.00%,0.00,0,0,0.00%
cómo controlar el estrés y la ansiedad,Concordancia exacta (variante cercana),Ninguna,1,1,100.00%,PEN,0.12,0.12,0,0,0.00,0,0,0.00%
cómo controlar el sistema nervioso,Concordancia exacta (variante cercana),Ninguna,1,1,100.00%,PEN,0.16,0.16,0,0,0.00,0,0,0.00%
cómo curar el estrés crónico,Concordancia exacta (variante cercana),Ninguna,1,1,100.00%,PEN,0.25,0.25,0,0,0.00,0,0,0.00%
cómo curar el estrés y la ansiedad,Concordancia exacta (variante cercana),Ninguna,1,2,50.00%,PEN,2.11,2.11,100.00%,100.00%,0.00,0,0,0.00%
cómo evitar la ansiedad,Concordancia exacta (variante cercana),Ninguna,1,2,50.00%,PEN,0.19,0.19,0.00%,0.00%,0.00,0,0,0.00%
cómo se quita la ansiedad,Concordancia exacta (variante cercana),Ninguna,1,1,100.00%,PEN,0.19,0.19,0,0,0.00,0,0,0.00%
cómo superar la ansiedad,Concordancia exacta (variante cercana),Ninguna,1,6,16.67%,PEN,0.25,0.25,0,0,0.00,0,0,0.00%
cómo tranquilizar el sistema nervioso,Concordancia exacta (variante cercana),Ninguna,1,3,33.33%,PEN,0.10,0.10,0,0,0.00,0,0,0.00%
que es bueno para los nervios y ansiedad,Concordancia exacta (variante cercana),Ninguna,1,6,16.67%,PEN,0.21,0.21,0,0,0.00,0,0,0.00%
que puedo hacer para eliminar la ansiedad,Concordancia exacta (variante cercana),Ninguna,1,1,100.00%,PEN,0.49,0.49,0.00%,100.00%,0.00,0,0,0.00%
que puedo hacer para no tener ansiedad,Concordancia exacta (variante cercana),Ninguna,1,1,100.00%,PEN,0.41,0.41,100.00%,100.00%,0.00,0,0,0.00%
que se recomienda para la ansiedad,Concordancia exacta (variante cercana),Ninguna,1,1,100.00%,PEN,0.21,0.21,0,0,0.00,0,0,0.00%
que tomar para la ansiedad y los nervios,Concordancia exacta (variante cercana),Ninguna,1,2,50.00%,PEN,0.87,0.87,50.00%,100.00%,0.00,0,0,0.00%
relajar la mente,Concordancia exacta (variante cercana),Ninguna,1,11,9.09%,PEN,0.19,0.19,0.00%,0.00%,0.00,0,0,0.00%
remedio para la ansiedad,Concordancia exacta (variante cercana),Ninguna,1,3,33.33%,PEN,0.55,0.55,0.00%,100.00%,0.00,0,0,0.00%
remedios para los nervios,Concordancia exacta (variante cercana),Ninguna,1,3,33.33%,PEN,0.09,0.09,0,0,0.00,0,0,0.00%
trucos para tranquilizar el sistema nervioso,Concordancia exacta (variante cercana),Ninguna,1,5,20.00%,PEN,0.25,0.25,0,0,0.00,0,0,0.00%
agua para la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.19,0.19,0,0,0.00,0,0,0.00%
ansiedad como curarla naturalmente,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.22,0.22,0,0,0.00,0,0,0.00%
ansiedad remedios caseros,Concordancia de frase (variante cercana),Ninguna,1,6,16.67%,PEN,0.21,0.21,0,0,0.00,0,0,0.00%
bueno para la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.25,0.25,0,0,0.00,0,0,0.00%
calma mi ansiedad,Concordancia de frase (variante cercana),Ninguna,1,33,3.03%,PEN,0.20,0.20,0,0,0.00,0,0,0.00%
como calmar la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,14,7.14%,PEN,0.22,0.22,0,0,0.00,0,0,0.00%
como calmar la ansiedad y los nervios,Concordancia de frase (variante cercana),Ninguna,1,20,5.00%,PEN,0.21,0.21,100.00%,100.00%,0.00,0,0,0.00%
como curar de los nervios,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.48,0.48,0.00%,100.00%,0.00,0,0,0.00%
como curar la ansiedad y ataques de panico,Concordancia de frase (variante cercana),Ninguna,1,5,20.00%,PEN,0.24,0.24,0,0,0.00,0,0,0.00%
como curar los nervios,Concordancia de frase (variante cercana),Ninguna,1,2,50.00%,PEN,0.19,0.19,0,0,0.00,0,0,0.00%
como dejar de sobrepensar las cosas,Concordancia de frase (variante cercana),Ninguna,1,10,10.00%,PEN,0.19,0.19,0,0,0.00,0,0,0.00%
como eliminar la ansiedad y el estres para siempre,Concordancia de frase (variante cercana),Ninguna,1,2,50.00%,PEN,0.12,0.12,0,0,0.00,0,0,0.00%
como hacer para que mi mente no me controle,Concordancia de frase (variante cercana),Ninguna,1,2,50.00%,PEN,0.23,0.23,0,0,0.00,0,0,0.00%
como me curo de la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,4,25.00%,PEN,0.15,0.15,0,0,0.00,0,0,0.00%
como meditar,Concordancia de frase (variante cercana),Ninguna,1,7,14.29%,PEN,0.19,0.19,0,0,0.00,0,0,0.00%
como no pensar demasiado,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.59,0.59,100.00%,100.00%,0.00,0,0,0.00%
como quitar la ansiedad para siempre,Concordancia de frase (variante cercana),Ninguna,1,6,16.67%,PEN,0.19,0.19,0,0,0.00,0,0,0.00%
como quitar la fatiga por ansiedad,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.18,0.18,0,0,0.00,0,0,0.00%
como salir de un estado de depresion y ansiedad,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.20,0.20,0,0,0.00,0,0,0.00%
como se cura la depresión y la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,2,50.00%,PEN,0.11,0.11,0,0,0.00,0,0,0.00%
como se trata la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.18,0.18,0,0,0.00,0,0,0.00%
como superar la depresión y ansiedad,Concordancia de frase (variante cercana),Ninguna,1,2,50.00%,PEN,0.18,0.18,0,0,0.00,0,0,0.00%
como superar la depresión y la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,2,50.00%,PEN,0.26,0.26,0,0,0.00,0,0,0.00%
como vencer el panico y la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.61,0.61,100.00%,100.00%,0.00,0,0,0.00%
consejos para disminuir la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.22,0.22,0,0,0.00,0,0,0.00%
cómo controlar el sistema nervioso,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.19,0.19,0,0,0.00,0,0,0.00%
cómo dejar de pensar demasiado,Concordancia de frase (variante cercana),Ninguna,1,3,33.33%,PEN,0.14,0.14,0,0,0.00,0,0,0.00%
cómo desaparecer la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.19,0.19,0,0,0.00,0,0,0.00%
cómo se cura la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.18,0.18,0,0,0.00,0,0,0.00%
cómo se quita la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.17,0.17,0,0,0.00,0,0,0.00%
cómo vencer la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,5,20.00%,PEN,0.20,0.20,0,0,0.00,0,0,0.00%
cómo vencer la ansiedad y la depresión,Concordancia de frase (variante cercana),Ninguna,1,2,50.00%,PEN,0.64,0.64,50.00%,100.00%,0.00,0,0,0.00%
descubre los 20 secretos espirituales para una mente tranquila,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.18,0.18,0,0,0.00,0,0,0.00%
dr perez albela ansiedad,Concordancia de frase (variante cercana),Ninguna,1,4,25.00%,PEN,0.33,0.33,0,0,0.00,0,0,0.00%
ejercicios para calmar la ansiedad y el estrés,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.19,0.19,0,0,0.00,0,0,0.00%
ejercicios para el estres y ansiedad,Concordancia de frase (variante cercana),Ninguna,1,8,12.50%,PEN,0.22,0.22,0,0,0.00,0,0,0.00%
ejercicios para el estrés y la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,4,25.00%,PEN,0.17,0.17,0,0,0.00,0,0,0.00%
ejercicios para la ansiedad y nervios,Concordancia de frase (variante cercana),Ninguna,1,6,16.67%,PEN,0.21,0.21,0,0,0.00,0,0,0.00%
ejercicios relajantes para el estres,Concordancia de frase (variante cercana),Ninguna,1,8,12.50%,PEN,0.20,0.20,0,0,0.00,0,0,0.00%
la ansiedad me tiene miedo masterclass,Concordancia de frase (variante cercana),Ninguna,1,2,50.00%,PEN,0.26,0.26,0,0,0.00,0,0,0.00%
medicina homeopática para la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.46,0.46,100.00%,100.00%,0.00,0,0,0.00%
meditacion para la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,41,2.44%,PEN,0.24,0.24,0,0,0.00,0,0,0.00%
meditación y relajación,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.25,0.25,0,0,0.00,0,0,0.00%
para relajar el sistema nervioso,Concordancia de frase (variante cercana),Ninguna,1,4,25.00%,PEN,0.10,0.10,0,0,0.00,0,0,0.00%
parches para la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.50,0.50,0.00%,100.00%,0.00,0,0,0.00%
que es bueno para calmar la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.21,0.21,0,0,0.00,0,0,0.00%
que es bueno para la ansiedad y depresión,Concordancia de frase (variante cercana),Ninguna,1,10,10.00%,PEN,0.19,0.19,22.22%,44.44%,0.00,0,0,0.00%
que hacer cuando tienes ataque de ansiedad,Concordancia de frase (variante cercana),Ninguna,1,2,50.00%,PEN,0.18,0.18,100.00%,100.00%,0.00,0,0,0.00%
que hacer para calmar la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,4,25.00%,PEN,0.30,0.30,0,0,0.00,0,0,0.00%
que hierba es bueno para los nervios,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.19,0.19,0,0,0.00,0,0,0.00%
que puedo tomar para la ansiedad y estres,Concordancia de frase (variante cercana),Ninguna,1,7,14.29%,PEN,0.11,0.11,0,0,0.00,0,0,0.00%
que tomar para el estres y la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,4,25.00%,PEN,0.18,0.18,0.00%,0.00%,0.00,0,0,0.00%
que tomar para los nervios,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.16,0.16,0,0,0.00,0,0,0.00%
qué es bueno para la ansiedad de comer,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.21,0.21,0,0,0.00,0,0,0.00%
qué medicamento es bueno para los nervios,Concordancia de frase (variante cercana),Ninguna,1,2,50.00%,PEN,0.18,0.18,0,0,0.00,0,0,0.00%
relajacion guiada para la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,43,2.33%,PEN,0.20,0.20,0,0,0.00,0,0,0.00%
relajacion y meditacion,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.22,0.22,0,0,0.00,0,0,0.00%
relajamiento para el estres,Concordancia de frase (variante cercana),Ninguna,1,10,10.00%,PEN,0.29,0.29,0,0,0.00,0,0,0.00%
relajar tu mente y cuerpo,Concordancia de frase (variante cercana),Ninguna,1,2,50.00%,PEN,0.10,0.10,0,0,0.00,0,0,0.00%
remedios caseros para la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,5,20.00%,PEN,0.17,0.17,0,0,0.00,0,0,0.00%
remedios caseros para los nervios,Concordancia de frase (variante cercana),Ninguna,1,10,10.00%,PEN,0.20,0.20,0,0,0.00,0,0,0.00%
remedios naturales ansiedad,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.17,0.17,0,0,0.00,0,0,0.00%
remedios para el insomnio por ansiedad,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.18,0.18,0,0,0.00,0,0,0.00%
respiracion para la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,32,3.13%,PEN,0.39,0.39,0,0,0.00,0,0,0.00%
tecnicas de relajacion ansiedad,Concordancia de frase (variante cercana),Ninguna,1,2,50.00%,PEN,0.15,0.15,0,0,0.00,0,0,0.00%
terapia de relajacion guiada para la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,22,4.55%,PEN,0.13,0.13,0,0,0.00,0,0,0.00%
terapias para combatir la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,2,50.00%,PEN,0.21,0.21,0,0,0.00,0,0,0.00%
tipos de tratamientos para la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.61,0.61,0.00%,0.00%,0.00,0,0,0.00%
tranquilizantes naturales para adultos,Concordancia de frase (variante cercana),Ninguna,1,1,100.00%,PEN,0.21,0.21,0,0,0.00,0,0,0.00%
tratamiento para la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,7,14.29%,PEN,0.68,0.68,25.00%,25.00%,0.00,0,0,0.00%
vencer la ansiedad,Concordancia de frase (variante cercana),Ninguna,1,9,11.11%,PEN,0.22,0.22,0,0,0.00,0,0,0.00%
vitaminas y ansioliticos,Concordancia de frase (variante cercana),Ninguna,1,3,33.33%,PEN,0.27,0.27,0,0,0.00,0,0,0.00%
cómo calmar los nervios,Concordancia exacta,Agregado,0,3,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
estrés crónico tratamiento,Concordancia exacta,Agregado,0,3,0.00%,PEN,0,0.00,33.33%,33.33%,0.00,0,0,0
remedios para la ansiedad,Concordancia exacta,Agregado,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
como calmar los nervios alterados,Concordancia de frase,Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
como controlar la ansiedad despues de una ruptura,Concordancia de frase,Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
como controlar la ansiedad en una relacion,Concordancia de frase,Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
como controlar la ansiedad medicamentos,Concordancia de frase,Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
como controlar la ansiedad naturalmente,Concordancia de frase,Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
como controlar la ansiedad para dormir,Concordancia de frase,Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
como controlar la ansiedad por comer,Concordancia de frase,Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
como controlar la ansiedad por el alcohol,Concordancia de frase,Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
como controlar la ansiedad y ataques de panico,Concordancia de frase,Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
como controlar la ansiedad y depresion,Concordancia de frase,Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
como controlar la depresion y ansiedad,Concordancia de frase,Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
como controlar la depresión y ansiedad,Concordancia de frase,Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
como se controla la ansiedad por comer,Concordancia de frase,Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo controlar la ansiedad por comer,Concordancia de frase,Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo controlar la ansiedad y los ataques de pánico,Concordancia de frase,Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
que se puede tomar para los nervios,Concordancia de frase,Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
remedio casero para la ansiedad,Concordancia de frase,Ninguna,0,2,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
remedio para el estrés y la ansiedad,Concordancia de frase,Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
remedios caseros para la ansiedad,Concordancia de frase,Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
remedios caseros para la ansiedad de drogas,Concordancia de frase,Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
remedios caseros para la ansiedad y estres,Concordancia de frase,Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
remedios caseros para la depresión y la ansiedad,Concordancia de frase,Ninguna,0,3,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
remedios naturales para el insomnio y la ansiedad,Concordancia de frase,Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
remedios naturales para quitar la ansiedad,Concordancia de frase,Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
algo para la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
algo para los nervios y ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansiedad como manejarla,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansiedad como superarla,Concordancia exacta (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansiedad qué hacer,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
bajar ansiedad,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
bajar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calma ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calma esta ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calma la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calma la mente,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calma mi ansiedad,Concordancia exacta (variante cercana),Ninguna,0,59,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calma tu ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar ansiedad,Concordancia exacta (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
calmar ansiedad relajar la mente,Concordancia exacta (variante cercana),Ninguna,0,8,0.00%,PEN,0,0.00,37.50%,75.00%,0.00,0,0,0
calmar ansiedad y nervios,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar el sistema nervioso,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar estres y ansiedad,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,19,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
calmar la mente,Concordancia exacta (variante cercana),Ninguna,0,35,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar la mente y dejar de pensar,Concordancia exacta (variante cercana),Ninguna,0,9,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar la mente y la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar los nervios,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar mente,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar nervios,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
