Informe de palabras clave de búsqueda
Todo el período
Estado de palabras clave,Palabra clave,Tipo de concordancia,Campaña,Grupo de anuncios,Estado,Motivos del estado,URL final,Impr.,CTR,Código de moneda,Costo,Clics,Porcentaje de conv.,Conversiones,Prom. CPC,Costo/conv.
Habilitado,"""cómo bajar la ansiedad rápido""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,"1,149",3.57%,PEN,10.05,41,0.00%,0.00,0.25,0.00
Habilitado,"""siento que algo malo va a pasar""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,1,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""no puedo dormir de tanto pensar""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,34,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""me siento agotado emocionalmente""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,73,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""duermo pero me levanto cansado""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,18,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""cómo calmar los nervios""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Limitada,baja calidad,,"1,959",3.62%,PEN,16.27,71,0.00%,0.00,0.23,0.00
Habilitado,"""cómo controlar la ansiedad""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,"8,306",4.71%,PEN,113.89,391,0.51%,2.00,0.29,56.94
Habilitado,[estrés crónico tratamiento],Concordancia exacta,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,149,5.37%,PEN,3.09,8,0.00%,0.00,0.39,0.00
 --,,"Total: Todas las palabras clave, excepto las quitadas", --, --, --,,,"40,510",4.66%,PEN,657.81,"1,889",0.21%,4.00,0.35,164.45
,,Total: Palabras clave de tu cuenta,,,,,,"43,388",4.48%,PEN,670.65,"1,943",0.21%,4.00,0.35,167.66
,,Total: Sus palabras clave,,,,,,"43,388",4.48%,PEN,670.65,"1,943",0.21%,4.00,0.35,167.66
,,Total: Coincidencias expandidas de IA Max,,,,,,0, --,PEN,0.00,0,0.00%,0.00,0,0.00
,,Total: Coincidencias de páginas de destino de IA Max,,,,,,0, --,PEN,0.00,0,0.00%,0.00,0,0.00
,,Total: Inclusiones de URLs de tu cuenta,,,,,,0, --,PEN,0.00,0,0.00%,0.00,0,0.00
,,Total: Cuenta,,,,,,"43,388",4.48%,PEN,670.65,"1,943",0.21%,4.00,0.35,167.66
,,Total: Búsqueda,,,,,,"43,388",4.48%,PEN,670.65,"1,943",0.21%,4.00,0.35,167.66
